Name,Year,Sex,SPR,CPI,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Ain't She Awesome,2000/02/14,filly,96,4.3,Primarily,1988,98,10.8,Lord At War (ARG),1980
Always Awesome,2000/04/01,filly,,,,,,,,
Awesome Action,2000/02/26,gelding,95,5.8,Opinionated Lady,1993,85,1.7,Known Fact,1977
Awesome Cannonball,2000/02/04,colt,71,1.2,Splash Em Baby,1988,77,2.1,Bucksplasher,1977
Awesome Charm,2000/04/12,filly,83,2.5,Reet Petite,1990,98,9.3,Maudlin,1978
Awesome Dancing,2000/01/06,gelding,69,1.2,Lulu,1991,91,4.0,Afleet,1984
Awesome Dividend,2000/05/08,colt,,,,,,,,
Awesome for Sure,2000/04/30,filly,62,0.8,Woodsy Meadow,1995,86,2.2,Meadowlake,1983
Awesome Frances,2000/01/17,filly,81,1.7,Frances in the Sky,1994,94,5.6,Sky Classic,1987
Awesome Minister,2000/01/31,gelding,25,0.1,Golden West,1994,80,1.5,Gone West,1984
Awesome Mom,2000/04/05,filly,,,,,,,,
Awesome Notion,2000/04/05,filly,,,,,,,,
Awesome of Course,2000/04/13,colt,,,,,,,,
Awesome Powers,2000/02/02,filly,79,1.6,Jill Miner,1990,98,11.7,Maudlin,1978
Awesome Punch,2000/01/08,filly,7,0.0,Joustabout,1995,99,9.2,Apalachee,1971
Awesome Reef,2000/03/01,filly,,,,,,,,
Awesome Rush,2000/03/07,gelding,,,,,,,,
Awesome Sword,2000/04/06,colt,,,,,,,,
Awesome Time,2000/02/27,colt,92,6.7,Slew Boyera,1987,92,2.7,Seattle Slew,1974
Awesome Touch,2000/03/23,filly,92,2.7,Baby Millie,1991,91,2.6,Gallapiat,1973
Belenus,2000/03/22,colt,73,4.4,Sun Blush,1989,96,4.7,Ogygian,1983
Blooming Again,2000/04/18,filly,,,,,,,,
Brush the Law Agin,2000/01/29,gelding,40,0.3,Brush With the Law,1993,94,6.1,Broad Brush,1983
Carolina Sunrise,2000/03/09,filly,54,0.5,Stylish Star,1986,98,16.7,Our Native,1970
Clays Awesome,2000/02/17,gelding,87,2.3,Our Shopping Spree,1990,94,6.3,Talc,1972
Dattt Way,2000/04/16,filly,74,1.0,March On He Said,1979,,,Stop the Music,1970
Dealing With Daisy,2000/05/06,filly,67,1.1,Campaign Worker,1983,,,Our Michael,1963
Destined to Win,2000/05/19,gelding,87,1.9,Designatoree,1991,62,0.7,Alysheba,1984
Diamond Bullet,2000/05/21,gelding,71,1.0,Po Po Au Pooh,1994,86,3.3,Tong Po,1988
Doll to Call,2000/01/22,filly,27,0.1,Devil's Doll,1992,38,0.2,Devil's Bag,1981
Easy Cruiser,2000/03/17,colt,66,1.7,Desert Radiance,1989,93,3.2,Desert Wine,1980
Echeverria,2000/02/08,colt,57,1.3,Evil's Pic,1992,98,9.1,Piccolino,1987
Ghostzapper,2000/04/06,colt,,,,,,,,
Glorious Again,2000/03/09,filly,93,3.4,Family Enterprize,1990,97,10.1,Tri Jet,1969
He's a Hunk,2000/04/15,gelding,76,1.8,Fanny's Flying,1988,85,1.7,Flying Paster,1976
He's Awesome,2000/05/03,gelding,81,1.8,Sister Queen,1994,96,6.2,Irish River (FR),1976
Headline News,2000/02/15,colt,74,0.9,Printing Press,1981,63,0.6,In Reality,1964
Heavens Passport,2000/02/03,filly,85,1.8,Up and Above,1994,85,1.8,Mt. Livermore,1981
Hotstufanthensome,2000/01/30,gelding,94,9.2,Don't Read My Lips,1991,92,5.8,Turkoman,1982
I'm an Awesome Cat,2000/03/08,gelding,55,0.6,I'm No Pussycat,1986,35,0.1,Valdez,1976
In Love Again,2000/04/07,filly,83,3.0,Dhaka,1988,98,7.9,Icecapade,1969
Kazaa,2000/03/03,filly,22,0.1,Joyous Melody,1990,96,6.8,Phone Trick,1982
Miney's Awesome,2000/03/11,filly,68,1.4,Mine Tonight,1983,96,5.8,Upper Nile,1974
Miss Awesome,2000/04/12,filly,77,1.2,Tanja,1993,93,5.0,Allen's Prospect,1982
Moomba,2000/03/01,colt,,,,,,,,
Most Awesome,2000/01/21,filly,,,,,,,,
Narita Roadster,2000/05/24,colt,19,0.1,Seattle Meteor,1986,98,17.1,Seattle Slew,1974
