Name,Year,Sex,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Always Awesome,2000/04/01,filly,Anzille,1986,67,0.9,Plugged Nickle,1977
Awesome Cannonball,2000/02/04,colt,Splash Em Baby,1988,77,2.1,Bucksplasher,1977
Awesome Mom,2000/04/05,filly,Palette Knife,1993,95,4.9,Broad Brush,1983
Awesome Notion,2000/04/05,filly,Naughty Notions,1991,97,5.5,Relaunch,1976
Awesome Powers,2000/02/02,filly,Jill Miner,1990,98,11.7,Maudlin,1978
Awesome Punch,2000/01/08,filly,Joustabout,1995,99,9.2,Apalachee,1971
Awesome Reef,2000/03/01,filly,Colonial Reef,1994,,,Pleasant Colony,1978
Awesome Time,2000/02/27,colt,Slew Boyera,1987,92,2.7,Seattle Slew,1974
Awesome Touch,2000/03/23,filly,Baby Millie,1991,91,2.6,Gallapiat,1973
Belenus,2000/03/22,colt,Sun Blush,1989,96,4.7,Ogygian,1983
Brush the Law Agin,2000/01/29,gelding,Brush With the Law,1993,94,6.1,Broad Brush,1983
Carolina Sunrise,2000/03/09,filly,Stylish Star,1986,98,16.7,Our Native,1970
Dattt Way,2000/04/16,filly,March On He Said,1979,,,Stop the Music,1970
Destined to Win,2000/05/19,gelding,Designatoree,1991,62,0.7,Alysheba,1984
Diamond Bullet,2000/05/21,gelding,Po Po Au Pooh,1994,86,3.3,Tong Po,1988
Echeverria,2000/02/08,colt,Evil's Pic,1992,98,9.1,Piccolino,1987
Ghostzapper,2000/04/06,colt,Baby Zip,1991,87,2.5,Relaunch,1976
He's a Hunk,2000/04/15,gelding,Fanny's Flying,1988,85,1.7,Flying Paster,1976
He's Awesome,2000/05/03,gelding,Sister Queen,1994,96,6.2,Irish River (FR),1976
Heavens Passport,2000/02/03,filly,Up and Above,1994,85,1.8,Mt. Livermore,1981
Hotstufanthensome,2000/01/30,gelding,Don't Read My Lips,1991,92,5.8,Turkoman,1982
I'm an Awesome Cat,2000/03/08,gelding,I'm No Pussycat,1986,35,0.1,Valdez,1976
In Love Again,2000/04/07,filly,Dhaka,1988,98,7.9,Icecapade,1969
Kazaa,2000/03/03,filly,Joyous Melody,1990,96,6.8,Phone Trick,1982
Miney's Awesome,2000/03/11,filly,Mine Tonight,1983,96,5.8,Upper Nile,1974
Miss Awesome,2000/04/12,filly,Tanja,1993,93,5.0,Allen's Prospect,1982
Moomba,2000/03/01,colt,Festivity,1983,99,12.5,Spectacular Bid,1976
Polebridge,2000/03/09,colt,Hip Wolf,1994,89,3.1,Northern Wolf,1986
Roman Centurion,2000/02/29,colt,Romanette,1982,97,6.8,Alleged,1974
Snorter,2000/01/29,colt,Retiro Park,1992,,,Meadowlake,1983
Socially Smart,2000/03/15,gelding,Stylish Society,1992,94,4.0,Forty Niner,1985
Sunny Again,2000/03/26,filly,Daybydaybyday,1992,90,2.8,Shananie,1979
Symmetron,2000/02/13,colt,Valid Symmetry,1992,96,5.7,Valid Appeal,1972
Toccet,2000/05/02,colt,Cozzene's Angel,1994,83,1.6,Cozzene,1980
Triple J,2000/03/02,filly,Triple Strike,1986,99,13.8,Secretariat,1970
Amazing Again,2001/05/04,colt,Crystal Shard,1994,,,Mr. Prospector,1970
Atago Taiyo,2001/02/28,colt,Windy Mindy,1987,86,3.0,Honey Jay,1968
Awesomatic,2001/05/11,filly,Two Tone Lindi,1993,94,3.9,Cutlass Reality,1982
Awesome Alarm,2001/01/25,gelding,Belle de Soleil,1993,95,4.9,Darn That Alarm,1981
Awesome Deduction,2001/03/28,filly,Taxable Deduction,1993,93,3.1,Prized,1986
Awesome Honor,2001/03/27,gelding,Vivacious Suzi,1994,91,3.5,Once Wild,1985
Awesome Joy,2001/02/16,filly,Copelan's Joy,1989,80,1.6,Copelan,1980
Awesome Lass,2001/05/25,filly,Smart n' Irish,1985,90,5.0,Smarten,1976
Awesome Miss (FR),2001/02/27,filly,Miss Alleged,1987,99,107.5,Alleged,1974
Awesome Will,2001/05/01,filly,In the Will,1993,84,1.7,Seeking the Gold,1985
Cajun Dawn,2001/04/05,filly,Pat's Reward,1990,82,1.2,Copelan,1980
Call Me Awesome,2001/01/29,colt,Pagofire,1991,86,7.1,Island Whirl,1978
Classy Again,2001/04/27,filly,Wild Classy Lady,1996,67,1.7,Wild Again,1980
Dashing Deputy,2001/02/01,gelding,Ms. Copelan,1989,91,2.7,Copelan,1980
Encore Encore,2001/03/30,filly,Honolulu Honey,1985,93,5.8,*Hawaii,1964
Enterprise Coast,2001/02/16,filly,Eye Catching,1991,94,3.4,Alydar,1975
Etiquette,2001/02/24,filly,Royal Family,1998,,,Private Terms,1985
Europe Again,2001/03/18,filly,Europa,1984,,,Medieval Man,1974
Final Marriage,2001/03/01,filly,Society Column,1996,5,0.0,Seeking the Gold,1985
I'm Awesome,2001/04/16,gelding,Valid Dorothy,1996,91,3.7,Valid Appeal,1972
Jennie R.,2001/04/11,filly,Petrouchka,1992,99,13.5,Red Ransom,1987
Monsieur Julian,2001/04/24,colt,Missy Day,1994,98,7.8,Dayjur,1987
Poker Game,2001/03/22,gelding,Stormy Blues,1992,98,24.9,Cure the Blues,1978
Precious Again,2001/02/12,filly,Precious Clare,1996,80,1.4,Red Ransom,1987
Presentation (JPN),2001/01/01,filly,Lady Telluride,1997,,,A.P. Indy,1989
Prince Awesome,2001/04/15,colt,Pure Red,1993,88,2.2,Thirty Six Red,1987
Rockin' Again,2001/02/11,gelding,Touch Dial,1996,99,17.9,Phone Trick,1982
Thunder Fox,2001/05/03,gelding,Astas Foxy Lady,1991,96,12.6,Zuppardo's Prince,1976
Thunder Wolf,2001/04/22,gelding,Blazing Hot,1993,80,6.9,Irish River (FR),1976
Valid Again,2001/01/22,gelding,Valid Way,1991,61,0.8,Valid Appeal,1972
Vallelunga,2001/04/01,gelding,Brushing Gloom,1992,98,14.5,Broad Brush,1983
Zikra Alhabeeb (KSA),2001/01/01,filly,Maureen's Hope,1995,96,4.5,Northern Baby,1976
Unnamed,2002/01/30,filly,Eastern Star,1992,65,2.0,Star de Naskra,1975
Aristocrat,2002/02/24,colt,Baby Zip,1991,87,2.5,Relaunch,1976
Attract Some Awe,2002/03/31,filly,Attraction Fatale,1987,91,6.4,Dauphin Fabuleux,1982
Awesome Avie,2002/01/11,filly,Avies Covergirl,1991,89,2.7,Avies Copy,1984
Awesome Deputy,2002/05/22,filly,Ruby Rubles,1995,96,6.1,Scarlet Ibis,1986
Awesome Exchange,2002/04/10,filly,Copelan's Exchange,1994,41,0.2,Copelan,1980
Awesome Hazel,2002/02/19,filly,She's Mahogany,1996,75,1.0,Woodman,1983
Awesome Jet,2002/03/24,colt,Fighting Jet,1990,97,6.9,Copelan,1980
Comealong,2002/04/25,gelding,Dark Hours,1992,96,7.5,Dynaformer,1985
Discreetly Awesome,2002/04/12,filly,Pretty Discreet,1992,99,9.9,Private Account,1976
Dubai Escapade,2002/05/10,filly,Sassy Pants,1992,96,6.9,Saratoga Six,1982
Financial Times,2002/03/18,colt,Investabull,1997,,,Holy Bull,1991
Freeway Fun,2002/04/28,filly,Alma Mater Ohio,1995,94,4.0,Kyle's Our Man,1988
Glasnost,2002/04/10,colt,Rabiadella,1991,97,7.7,Dynaformer,1985
Hapster,2002/05/08,filly,Scivolina,1994,,,Slew o' Gold,1980
King Mustang,2002/02/13,gelding,Feeling Easy,1993,91,2.4,Easy Goer,1986
Maybe for Sure,2002/01/05,filly,Cheers and Tears,1995,96,4.4,Bold Ruckus,1976
Perfectly Awesome,2002/01/31,filly,Perfect Night,1991,86,2.4,Taylor's Falls,1973
Reregister,2002/04/08,filly,Register,1992,,,Mari's Book,1978
Round Pond,2002/05/21,filly,Gift of Dance,1989,80,1.3,Trempolino,1984
Roxy Blue,2002/04/28,filly,Sub Rosa,1994,84,2.2,Private Terms,1985
Spun Sugar,2002/01/28,filly,Irish Cherry,1994,96,5.6,Irish Open,1984
Struck Again,2002/04/10,gelding,Wild Lightning,1991,97,8.3,Wild Again,1980
Upwardly Mobile,2002/04/28,filly,Broad Expectations,1994,91,2.7,Broad Brush,1983
Virgil Q,2002/04/09,gelding,North Lake Jane,1997,98,8.5,Meadowlake,1983
Welcome Again,2002/03/11,gelding,Alda's Will,1993,77,1.2,Gallapiat,1973
Win Again,2002/04/15,gelding,Valid Approval,1993,96,4.7,Valid Appeal,1972
Windbreak,2002/02/20,colt,Mackenzie Slew,1992,94,4.0,Seattle Slew,1974
A. J. Awesome,2003/05/17,colt,Powerful Nation,1994,89,3.1,Turkoman,1982
Above Spirit,2003/02/09,gelding,Pure Red,1993,88,2.2,Thirty Six Red,1987
Alliteration,2003/04/17,colt,Meadowlake Mist,1992,86,1.8,Meadowlake,1983
Angle of Attack,2003/02/03,colt,Beguiled,1995,89,2.8,Relaunch,1976
Awesome Bear,2003/03/31,filly,Lucky Marty,1993,94,3.6,Fortunate Prospect,1981
Awesome Empress,2003/02/02,filly,Way Up,1993,89,2.4,Great Above,1972
Awesome Eve,2003/03/13,filly,Demons Cloud,1996,93,4.0,Demons Begone,1984
Awesome Richard,2003/04/28,gelding,Red Royal,1995,84,2.1,Red Ransom,1987
Awesome Silence,2003/02/04,gelding,Evening Hush,1995,98,6.2,Saint Ballado,1989
Black Cherry,2003/04/16,filly,Abby Girl,1997,87,8.4,Meadowlake,1983
Bug a Boo Ben,2003/02/02,colt,Collect the Cash,1997,92,11.4,Dynaformer,1985
Capelia,2003/02/14,filly,Blanca Delia,1995,79,1.7,Darn That Alarm,1981
Capricornio,2003/03/24,gelding,Lazer Eye,1997,80,3.5,Holy Bull,1991
Cotton King,2003/03/04,colt,Lake Leman,1995,1,0.0,Meadowlake,1983
Exotic Bird,2003/04/17,filly,Nicky Tiki,1997,91,2.7,Skip Trial,1982
Hardballer,2003/04/25,gelding,Supah Gem,1990,97,13.2,Gold Meridian,1982
Mightiness,2003/03/27,colt,Perfect Pearl,1996,71,1.8,Holy Bull,1991
On Board Again,2003/02/04,colt,Flight Delight,1994,93,4.2,Lear Fan,1981
Playing to Win,2003/05/02,gelding,Gud Aftanoon,1996,77,1.3,Private Terms,1985
